State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Housholds_with_Electric_Lighting,Households_with_Computer,Households_with_Internet,Rural_Households,Urban_Households,Graduate_Education,Total_Power_Parity,sex_ratio,literacy_rate
Karnataka,Haveri,14.737582809224318,75.3961230607966,564,1597668,819128,778540,1085443,603793,481650,295937,17819,2456,315076,98488,55310,2240,105.0,68.0
Karnataka,Kodagu,12.39684468085106,75.79336595744688,576,554519,274608,279911,412877,215302,197575,113931,10758,3308,181182,31792,43225,942,98.0,74.0
Karnataka,Kolar,13.312799881235172,78.01376947743476,581,1536401,776396,760005,1016219,564110,452109,309494,27235,5051,326567,151042,71422,3389,102.0,66.0
Karnataka,Koppal,15.651253271028034,76.1617048598131,560,1389920,699926,689994,809085,468785,340300,223166,15263,2135,272968,64681,43967,1889,101.0,58.0
Karnataka,Mandya,12.574901806239744,76.81570098522172,573,1805769,905085,900684,1149649,638668,510981,391033,20265,3367,458867,103435,102838,2628,100.0,64.0
Karnataka,Mysore,12.248100259403367,76.52881802853437,577,3001127,1511600,1489527,1962180,1063766,898414,640868,80086,28397,540596,380386,212541,4995,101.0,65.0
Karnataka,Raichur,16.050795353982295,76.87368606194688,559,1928812,964511,964301,979769,577213,402556,314547,33903,5200,330446,125402,50463,2672,100.0,51.0
Karnataka,Shimoga,14.063845885634592,75.17882078103197,568,1752753,877415,875338,1263016,674938,588078,363835,35207,8791,352444,201662,111753,3119,100.0,72.0
Karnataka,Tumkur,13.592467760074973,77.02297966260545,571,2678980,1350594,1328386,1813391,1006024,807367,562769,41751,7971,685443,204799,143735,4067,102.0,68.0
Karnataka,Udupi,13.450404228534568,74.72009990316337,569,1177361,562131,615230,926429,465704,460725,224814,24817,9070,269817,115572,107279,2100,91.0,79.0
Kerala,Alappuzha,9.542602965599087,76.38010796263319,598,2127789,1013142,1114647,1852797,890552,962245,507913,71593,28842,331419,392117,198858,3368,91.0,87.0
Kerala,Ernakulam,10.004879301987431,76.26957729035381,595,3282388,1619557,1662831,2855676,1425723,1429953,771287,184167,88737,369694,804997,429880,6274,97.0,87.0
Kerala,Idukki,9.80480963855423,77.04586641566264,596,1108974,552808,556166,923010,471881,451129,244844,24863,8250,391610,20823,86136,1374,99.0,83.0
Kerala,Kannur,11.941523076923056,75.35209891725934,589,2523003,1181446,1341557,2138434,1012956,1125478,511167,83940,32653,306288,566191,217203,4432,88.0,85.0
Kerala,Kasaragod,12.33310309912974,75.07768497134369,588,1307375,628613,678762,1037492,516476,521016,237670,32484,10378,251641,166164,76192,1988,93.0,79.0
Kerala,Kollam,8.929388820570157,76.6360775852431,600,2635375,1246968,1388407,2240273,1074345,1165928,630767,83133,31542,523715,401415,233402,3910,90.0,85.0
Kerala,Kottayam,9.643701174068417,76.46059673302705,597,1974551,968289,1006262,1749798,861592,888206,464039,83999,37849,481967,196194,221350,3071,96.0,89.0
Kerala,Kozhikode,11.392924270557026,75.71158720159153,591,3086293,1470942,1615351,2615443,1266939,1348504,641660,107602,36791,323793,666543,250117,4594,91.0,85.0
Kerala,Malappuram,10.97329875666072,75.93910775606876,592,4112920,1960328,2152592,3311315,1597404,1713911,730119,119918,27909,634543,522586,203779,4838,91.0,81.0
Kerala,Palakkad,10.784926903553291,76.49980490693744,593,2809934,1359478,1450456,2239492,1122600,1116892,587583,69440,27162,665899,228442,180540,3929,94.0,80.0
Kerala,Thiruvananthapuram,8.537101759082221,76.88711502868073,601,3301427,1581678,1719749,2785408,1354857,1430551,783872,155321,71621,559293,609824,381782,5770,92.0,84.0
Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,1480763,1640437,2678548,1282261,1396287,721625,132774,56148,336748,715119,338600,5612,90.0,86.0
Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,401684,415736,645585,328136,317449,149864,15944,4712,266183,11805,51111,1095,97.0,79.0
Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,379114,370123,436595,254120,182475,81338,7266,1290,147388,60325,31646,787,102.0,58.0
Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,443837,401234,469109,290304,178805,84720,6016,619,169606,37135,22791,861,111.0,56.0
Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,842178,859520,1147623,626468,521155,277927,13306,1712,400074,70793,74213,1709,98.0,67.0
Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,699340,686541,549926,313642,236284,181139,8516,1158,250358,48912,30754,1336,102.0,40.0
Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,799236,776126,939769,529783,409986,230974,13755,2109,318945,87704,82761,1845,103.0,60.0
Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,926843,776162,1094917,676513,418404,107819,14368,1166,271211,88385,50222,1786,119.0,64.0
Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,1236130,1134931,1660690,920314,740376,452912,94729,40788,118893,581826,266618,4298,109.0,70.0
Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,388504,369343,408679,233073,175606,112420,5058,986,115979,62861,28237,989,105.0,54.0
Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,936121,826254,943033,572010,371023,176056,15567,1880,375869,95048,59704,1947,113.0,54.0
Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,1064468,1026454,1294198,731294,562904,344875,20034,3588,413142,140802,112383,2513,104.0,62.0
Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,661873,602346,747715,445737,301978,187731,10504,1432,303387,66514,41158,1359,110.0,59.0
Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,420157,366597,491445,303815,187630,97696,5251,616,160453,43401,34853,951,115.0,62.0
Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,805359,758356,925369,550716,374653,270457,16523,3518,274995,101014,55383,1899,106.0,59.0
Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,1112725,1073068,1077338,638479,438859,349639,18626,2388,412348,103364,66721,2470,104.0,49.0
Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,351913,352611,378714,222759,155955,62372,6447,554,218021,9774,15179,652,100.0,54.0
Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,649362,592157,653980,400537,253443,144248,11740,2482,212765,72320,42147,1302,110.0,53.0
Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,1090327,941709,1357210,803114,554096,306859,46454,15779,172720,272172,193947,2830,116.0,67.0
Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,294838,275627,352550,203807,148743,95066,5376,986,112714,31845,27126,619,107.0,62.0
Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,648725,592625,810644,469199,341445,198076,14456,2871,209650,105746,84769,1535,109.0,65.0
Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,1699627,1577070,2309130,1289631,1019499,593576,111478,48691,200371,587947,382658,5783,108.0,70.0
Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,1277278,1186011,1756468,980307,776161,452023,58601,20443,272284,352477,235072,3776,108.0,71.0
Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,515023,510025,352081,214582,137499,125411,5591,744,211080,24713,20240,1612,101.0,34.0
Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,662013,630029,790773,460583,330190,172416,13094,2179,276151,72880,53578,1476,105.0,61.0
Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,525272,529633,604962,348033,256929,143803,9042,912,279674,37258,35476,1043,99.0,57.0
Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,682851,657560,834591,502898,331693,239885,12507,2324,302287,81832,52546,1475,104.0,62.0
Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1068417,897553,1179685,747652,432033,131486,20172,1781,319298,95288,71005,1924,119.0,60.0
Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,422653,403414,508834,307889,200945,145258,8342,1945,174235,67962,42343,1026,105.0,62.0
Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,533480,483040,552559,332140,220419,76097,8501,653,256744,32179,29795,1034,110.0,54.0
Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,700358,631239,820220,479093,341127,194373,9931,1141,251272,74441,48384,1460,111.0,62.0
Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,790212,755602,804245,488797,315448,231130,12718,1611,331894,69823,51499,1629,105.0,52.0
Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,738241,716828,825880,485090,340790,213825,14905,3644,266716,107151,67192,1700,103.0,57.0
Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,1225100,1140006,1441757,845572,596185,251132,31194,3406,523910,94489,122371,2756,107.0,61.0
Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,1256257,1122201,1545719,908607,637112,366494,24811,4546,448408,165507,116753,2771,112.0,65.0
Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,1157495,1071440,1371781,801051,570730,294702,22751,3754,461831,114173,105499,2641,108.0,62.0
Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,683743,627589,780362,469208,311154,212138,11166,1566,270427,59220,50655,1442,109.0,60.0
Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,695879,683252,864194,485341,378853,228695,10417,1182,335045,47542,55984,1369,102.0,63.0
Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,540021,526042,604194,348761,255433,113184,10817,1733,233594,57846,46513,1302,103.0,57.0
Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,780520,732161,894612,543509,351103,232735,10797,1382,312611,73997,48671,1647,107.0,59.0
Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,361784,326077,328025,208201,119824,74770,5393,273,150146,26376,17091,693,111.0,48.0
Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,919795,806255,900846,573242,327604,148128,15304,1852,367859,66759,44812,1827,114.0,52.0
Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,575912,551121,600785,353030,247755,102228,10790,837,250953,25916,33067,3019,104.0,53.0
Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,760355,684811,747940,459353,288587,132725,10899,1090,322772,60220,35034,1591,111.0,52.0
Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1016289,970575,1240990,730817,510173,323379,27733,7501,300765,188684,111290,2599,105.0,62.0
Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,330674,314084,356672,210907,145765,67975,6360,839,138100,29966,18144,692,105.0,55.0
Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,769568,689307,862918,512344,350574,181510,12888,1926,292579,83830,59814,1583,112.0,59.0
Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,932334,881572,1411281,758977,652304,314490,24232,6163,308158,196077,112574,3948,106.0,78.0
Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,1480768,1407677,2251875,1207104,1044771,512492,36185,9438,508921,272894,203273,6236,105.0,78.0
Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,605520,594814,899860,488709,411151,227025,13165,2932,283843,72575,67061,2237,102.0,75.0
Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,1349106,1235943,1718507,987185,731322,402052,29198,5614,563114,135457,129996,4179,109.0,66.0
Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1337560,1248698,1879874,1048892,830982,423036,24877,4767,575405,152787,113783,4421,107.0,73.0
Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1123834,1080473,1578615,872565,706050,418666,31419,8239,451324,233331,126488,5085,104.0,72.0
Maharashtra,Dhule,21.274018690400517,74.58719071837263,498,2050862,1054031,996831,1293916,723388,570528,315332,27139,6065,382777,146013,114931,3583,106.0,63.0
Maharashtra,Gondiya,21.225008411214997,80.17522698598128,507,1322507,661554,660953,1004243,542837,461406,239981,13595,2866,319702,66813,57923,2183,100.0,76.0
Maharashtra,Hingoli,19.59525302245251,77.09239412780653,512,1177345,606294,571051,790743,450551,340192,159114,9676,1221,242456,41913,38698,1853,106.0,67.0
Maharashtra,Jalgaon,20.8828943415638,75.55140421810695,499,4229917,2197365,2032552,2891882,1629223,1262659,720791,56775,14297,796223,373565,229987,7988,108.0,68.0
Maharashtra,Jalna,19.984612534818933,75.98473607242339,514,1959046,1011473,947573,1195523,699428,496095,288895,17236,3791,404746,98084,64060,3363,107.0,61.0
Maharashtra,Kolhapur,16.44881301587301,74.12897150793648,530,3876001,1980658,1895343,2825845,1559760,1266085,770005,71879,22269,796496,382818,335413,8464,105.0,73.0
Maharashtra,Latur,18.348687268993856,76.75812607802874,524,2454196,1273140,1181056,1650672,932432,718240,381722,29758,6217,428616,157016,153256,4574,108.0,67.0
Maharashtra,Nagpur,21.196556862745105,79.02166176470584,505,4653570,2384975,2268595,3673808,1959220,1714588,917626,135750,57964,430844,877522,493236,14073,105.0,79.0
Maharashtra,Nanded,19.209316983017,77.6829048951049,511,3361292,1730075,1631217,2189425,1255222,934203,488748,43055,7548,591119,230563,156225,6214,106.0,65.0
Maharashtra,Nandurbar,21.523175625248147,74.32638757443429,497,1648295,833170,815125,906509,512099,394410,186202,17047,2579,333440,71572,58461,2446,102.0,55.0
Maharashtra,Nashik,20.266912871287143,74.03824168316828,516,6107187,3157186,2950001,4345366,2397538,1947828,904710,138887,45039,904661,764271,373100,13629,107.0,71.0
Maharashtra,Osmanabad,18.19459456066944,75.99495575313809,525,1657576,861535,796041,1137810,644304,493506,240042,18183,3209,367158,77832,96847,2786,108.0,69.0
Maharashtra,Parbhani,19.31032425249168,76.70163338870431,513,1836086,942870,893216,1157814,666291,491523,272486,21196,3982,293480,133759,81333,3410,106.0,63.0
Maharashtra,Pune,18.51696171428573,74.12922881632647,521,9429408,4924105,4505303,7171723,3940210,3231513,1925019,490260,235018,1165718,2056739,1086650,27223,109.0,76.0
Maharashtra,Ratnagiri,17.210195070127703,73.25725893866404,528,1615069,761121,853948,1199392,619012,580380,367352,31062,7752,538538,100824,65700,3484,89.0,74.0
Maharashtra,Sangli,17.154930181086502,74.70713822937628,531,2822143,1435728,1386415,2049467,1121550,927917,485126,49056,13212,626872,226801,214003,5798,104.0,73.0
Maharashtra,Satara,17.6737908974359,74.18052064102558,527,3003741,1510842,1492899,2225694,1201034,1024660,562653,57423,14093,774522,200949,243457,5649,101.0,74.0
Maharashtra,Sindhudurg,16.170948049777163,73.51329008172343,529,849651,417332,432319,666067,348289,317778,194228,15721,3517,295847,44989,48418,1749,97.0,78.0
Maharashtra,Solapur,17.837357937584812,75.42394823609216,526,4317756,2227852,2089904,2910676,1651266,1259410,595560,59296,15145,779929,376302,236302,8995,107.0,67.0
Maharashtra,Thane,19.698767747440264,72.79882742564581,517,11060148,5865078,5195070,8227161,4591396,3635765,2231800,551643,256170,713994,2904157,961719,35118,113.0,74.0
Maharashtra,Wardha,20.80743024390242,78.57259105691062,504,1300774,668385,632389,1019458,552617,466841,266155,16260,4313,268486,120218,93772,2754,106.0,78.0
Maharashtra,Washim,20.282282394366213,77.25502394366208,502,1197160,620302,576858,869917,487703,382214,196022,10757,1875,274925,55921,47865,1942,108.0,73.0
Maharashtra,Yavatmal,20.04258346738159,78.05326371760479,510,2772348,1419965,1352383,2022574,1115980,906594,446516,29917,6094,629243,168889,123074,4937,105.0,73.0
Manipur,Bishnupur,24.50712111801243,93.8246236024845,275,237399,118782,118617,156333,87313,69020,34364,3447,676,34977,21172,20074,226,100.0,66.0
Manipur,Chandel,24.2635812987013,94.09443844155844,280,144182,74579,69603,90302,51053,39249,18764,1782,184,30377,3783,8105,250,107.0,63.0
Manipur,Churachandpur,24.30309718875504,93.38671506024085,274,274143,138820,135323,195935,104013,91922,29894,4496,837,52972,4853,14523,327,103.0,71.0
Manipur,Senapati,25.08465586034914,94.03366234413956,272,479148,247323,231825,264477,148012,116465,22798,2170,256,38008,1826,24940,823,107.0,55.0
Manipur,Tamenglong,24.98312942238265,93.49450740072204,273,140651,72371,68280,85006,47403,37603,11541,1362,125,23982,4119,7102,90,106.0,60.0
Manipur,Thoubal,24.545392553191498,93.97959893617023,276,422168,210845,211323,269304,152617,116687,49507,5110,880,65961,38302,28550,539,100.0,64.0
Manipur,Ukhrul,25.05900314960629,94.44129566929138,279,183998,94718,89280,129829,70148,59681,14026,2437,276,36084,5806,15636,79,106.0,71.0
Meghalaya,East Garo Hills,25.82728228228228,90.64684924924916,294,317917,161223,156694,192147,102513,89634,24550,2368,288,62698,11518,2484,450,103.0,60.0
Meghalaya,East Khasi Hills,25.303763888888884,91.75922519841272,298,825922,410749,415173,578030,287270,290760,135941,19306,5032,106248,108843,61639,1456,99.0,70.0
Meghalaya,Jaintia Hills,25.33959557069844,92.37608160136298,299,395124,196285,198839,187527,87371,100156,41677,4333,510,76546,7171,8039,528,99.0,47.0
Meghalaya,South Garo Hills,25.240568578553614,90.64560349127176,295,142334,73170,69164,82062,45003,37059,10940,1625,179,35930,3713,826,139,106.0,58.0
Meghalaya,West Garo Hills,25.495285185185185,90.03709947089942,293,643291,324159,319132,358702,193438,165264,51301,8872,1630,139351,18594,10856,791,102.0,56.0
Meghalaya,West Khasi Hills,25.500889926739926,91.25364542124538,296,383461,193715,189746,230678,117307,113371,32873,2462,149,74832,12299,6450,479,102.0,60.0
Mizoram,Aizawl,23.90781335453101,92.85359459459472,283,400309,199270,201039,340595,169547,171048,79804,21093,4019,20570,80341,31310,963,99.0,85.0
Mizoram,Champhai,23.54166580976866,93.24221799485862,284,125745,63388,62357,100802,51440,49362,23948,2263,186,18395,12717,4087,187,102.0,80.0
Mizoram,Kolasib,24.2020004347826,92.73470391304348,282,83955,42918,41037,65895,34147,31748,14853,1986,367,9669,12507,2530,142,105.0,78.0
Mizoram,Lawngtlai,22.36102843137253,92.66964156862753,287,117894,60599,57295,62861,36444,26417,9283,1329,162,21993,5273,2515,242,106.0,53.0
Mizoram,Lunglei,23.007717036172675,92.63512555425892,286,161428,82891,78537,121122,64515,56607,26394,3725,482,21479,17315,5509,274,106.0,75.0
Mizoram,Mamit,23.73852942502819,92.4330803833147,281,86364,44828,41536,60191,32977,27214,12158,1073,90,16726,4129,1771,94,108.0,70.0
Mizoram,Saiha,22.35744801061008,93.02827931034489,288,56574,28594,27980,42233,21861,20372,7400,1194,168,7043,5784,2204,88,102.0,75.0
